n_nodes,influence,n0,n1,n2,n3,n4
5,50160.2900,777,394,795,659,155
5,50160.2900,777,394,795,659,155
5,50160.2900,777,394,795,659,155
5,50160.2900,777,394,795,659,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
5,50044.3700,659,366,394,430,155
