n_nodes,influence,n0,n1,n2,n3,n4
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.2488,659,46,401,597,926
5,17.1375,317,401,659,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
5,17.0729,777,46,401,597,926
