n_nodes,influence,n0
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1164.9100,155
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1158.1300,608
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
1,1156.2700,245
