n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,10808.6500,515,232,944,366,947,180,149,697,250,507
10,10808.6500,515,232,944,366,947,180,149,697,250,507
10,10808.6500,515,232,944,366,947,180,149,697,250,507
10,10808.6500,515,232,944,366,947,180,149,697,250,507
10,10808.6500,515,232,944,366,947,180,149,697,250,507
10,10808.6500,515,232,944,366,947,180,149,697,250,507
10,10808.6500,515,232,944,366,947,180,149,697,250,507
10,10802.0800,515,965,232,366,177,947,149,697,155,507
10,10784.8300,515,93,232,366,177,947,149,697,250,507
10,10783.4800,515,966,558,157,180,149,697,281,250,507
10,10783.4800,515,966,558,157,180,149,697,281,250,507
10,10783.4800,515,966,558,157,180,149,697,281,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10778.7400,515,232,366,947,180,149,468,215,250,507
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10770.9100,515,232,366,947,180,149,697,250,507,849
10,10759.2100,515,232,944,366,947,149,468,215,250,507
10,10745.7100,664,965,232,366,177,947,149,697,250,507
10,10740.3100,515,232,366,236,947,180,149,697,250,507
10,10740.3100,515,232,366,236,947,180,149,697,250,507
10,10740.3100,515,232,366,236,947,180,149,697,250,507
10,10740.3100,515,232,366,236,947,180,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
10,10728.7600,515,232,366,965,177,947,149,697,250,507
