n_nodes,influence,n0,n1
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
2,2358.1400,401,499
