n_nodes,influence,n0,n1,n2,n3,n4
5,5649.7700,177,347,402,155,507
5,5592.3500,966,177,402,155,507
5,5592.3500,966,177,402,155,507
5,5592.3500,966,177,402,155,507
5,5592.3500,966,177,402,155,507
5,5592.3500,966,177,402,155,507
5,5590.3100,786,177,507,664,347
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,347,507,664,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5581.4600,177,507,664,347,7
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,507,664,347,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
5,5580.0800,177,347,507,664,763
