n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,7721.1100,452,684,967,821,507,890,731
7,7721.1100,452,684,967,821,507,890,731
7,7721.1100,452,684,967,821,507,890,731
7,7686.2800,452,967,583,373,507,317,731
7,7677.4300,452,967,731,16,454,890,507
7,7677.4300,452,967,731,16,454,890,507
7,7676.9200,452,583,967,505,373,507,731
7,7676.9200,452,583,967,505,373,507,731
7,7676.9200,452,583,967,505,373,507,731
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7675.2700,452,967,731,890,373,583,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.2800,452,967,731,821,454,890,507
7,7656.1600,452,967,731,234,454,890,507
7,7656.1600,452,967,731,234,454,890,507
7,7654.6300,452,967,583,373,202,507,731
