n_nodes,influence,n0
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
1,3.5231,157
