n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1753,583,261,679,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.1076,583,611,261,684,879,157,401,789,632,926
10,33.0697,583,261,679,684,205,401,789,632,157,926
10,33.0163,261,177,583,167,205,401,789,632,157,926
10,33.0163,261,177,583,167,205,401,789,632,157,926
10,33.0163,261,177,583,167,205,401,789,632,157,926
10,32.9608,583,261,679,684,879,157,401,370,789,926
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,401,370,789,632,157
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9561,583,261,679,684,879,157,401,370,789,632
10,32.9155,583,611,261,684,879,157,401,370,789,926
10,32.9155,583,611,261,684,879,157,401,370,789,926
10,32.9070,583,611,261,684,879,157,401,370,789,632
10,32.9070,583,611,261,684,879,157,401,370,789,632
10,32.8713,611,261,679,684,879,401,789,632,157,499
10,32.8620,261,167,583,205,200,401,789,632,157,926
10,32.8620,261,167,583,205,200,401,789,632,157,926
10,32.8619,611,261,934,679,583,401,789,632,157,926
10,32.8619,611,261,934,679,583,401,789,632,157,926
10,32.8619,611,261,934,679,583,401,789,632,157,926
10,32.8619,611,261,934,679,583,401,789,632,157,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
10,32.8375,611,261,679,684,879,157,401,789,632,926
