n_nodes,influence,n0,n1
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
2,6.9230,659,261
