n_nodes,influence,n0,n1,n2,n3,n4
5,17.2922,608,394,401,46,795
5,17.2922,608,394,401,46,795
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.2340,608,795,401,126,46
5,17.1606,608,795,401,46,177
5,17.1606,608,795,401,46,177
5,17.1606,608,795,401,46,177
5,17.1606,608,795,401,46,177
5,17.1606,608,795,401,46,177
5,17.1158,608,394,401,46,177
5,17.1158,608,394,401,46,177
5,17.1158,608,394,401,46,177
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
5,17.1047,608,795,401,46,860
