n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,23.8294,452,293,232,789,659,401,344
7,23.7568,440,104,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7356,440,890,232,789,939,401,344
7,23.7044,344,232,939,401,789,440,395
7,23.7017,452,293,232,789,939,401,344
7,23.7017,452,293,232,789,939,401,344
7,23.7017,452,293,232,789,939,401,344
7,23.7017,452,293,232,789,939,401,344
7,23.6565,452,293,232,789,659,344,440
7,23.6565,452,293,232,789,659,344,440
7,23.6565,452,293,232,789,659,344,440
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
7,23.6549,440,890,395,789,939,401,344
