n_nodes,influence,n0,n1,n2,n3,n4
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30366.4500,583,402,401,731,157
5,30267.7500,583,365,401,731,157
5,30148.1200,402,365,401,412,157
5,30141.4700,583,402,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.3200,583,365,401,412,157
5,30040.1800,105,402,401,731,157
5,30040.1800,105,402,401,731,157
