n_nodes,influence,n0,n1,n2,n3,n4
5,16.9034,608,452,231,157,505
5,16.7879,608,452,231,241,709
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
5,16.7459,452,505,241,608,231
