n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
14,23,21,92,43,37.15,19.25,18.760000000000005
188,171,78,64,155,25.07,10.46,10.600000000000001
54,155,9,148,174,36.03,17.67,18.16
40,110,163,100,185,24.15,9.79,9.68
130,95,139,113,128,22.58,10.28,10.760000000000002
68,9,7,93,119,40.49,20.11,22.840000000000003
81,97,108,134,42,28.52,13.44,13.120000000000001
143,45,60,59,6,35.27,17.25,17.200000000000003
45,83,44,34,130,31.16,13.7,14.400000000000002
130,92,131,172,143,21.77,10.05,10.08
46,114,106,188,134,29.68,12.7,12.64
195,93,151,90,92,26.01,10.85,11.240000000000002
114,41,193,102,183,30.91,12.98,14.400000000000002
189,118,167,135,63,27.0,10.23,10.56
125,71,127,128,131,32.78,13.22,14.080000000000002
90,169,116,118,89,28.87,11.98,12.200000000000001
145,185,142,185,116,21.59,8.46,10.280000000000001
124,168,56,83,179,27.37,13.32,13.240000000000002
42,157,68,197,122,23.38,10.75,10.96
79,77,180,129,143,23.96,10.47,10.32
132,129,166,157,150,27.96,10.4,11.760000000000002
104,79,187,53,125,32.09,11.58,11.200000000000003
131,93,175,159,19,31.26,15.2,15.440000000000001
87,185,2,48,190,28.32,13.2,13.000000000000004
27,15,147,167,12,35.13,17.65,18.800000000000004
69,151,58,174,27,32.0,15.22,14.160000000000002
193,133,34,68,62,35.48,12.37,12.640000000000002
53,15,108,183,194,30.93,12.32,13.2
8,14,92,92,44,39.76,16.71,20.28
63,172,6,21,29,41.55,16.74,18.880000000000003
17,6,10,186,5,41.09,21.65,24.800000000000004
95,65,32,40,188,36.0,13.63,13.640000000000002
47,133,177,0,98,39.73,20.39,22.44
150,11,63,38,9,41.97,20.22,22.200000000000003
1,88,157,160,190,25.83,11.6,12.200000000000003
191,28,73,86,125,36.09,13.72,14.960000000000004
7,78,114,141,196,31.41,15.2,15.360000000000003
154,189,11,67,193,26.53,12.19,12.040000000000003
102,159,180,39,121,29.12,12.49,12.240000000000002
57,23,169,175,80,31.07,13.44,13.880000000000003
26,6,114,32,132,40.47,17.01,18.040000000000003
149,199,100,124,131,23.79,10.82,10.96
83,36,87,66,67,28.68,12.77,13.320000000000002
155,107,167,4,179,36.68,17.66,18.0
142,35,171,14,64,34.37,13.81,14.880000000000003
8,33,41,43,24,37.17,19.17,19.680000000000007
116,162,59,130,181,23.69,9.75,10.240000000000002
8,63,59,182,113,33.34,13.0,13.8
18,64,20,151,58,35.17,18.05,19.76000000000001
159,159,181,92,65,25.49,7.98,10.96
175,108,71,134,192,31.49,14.16,14.56
1,38,9,98,104,37.58,18.08,18.320000000000004
41,28,131,185,22,31.78,16.28,17.080000000000002
61,26,25,5,46,37.15,15.94,17.240000000000002
192,59,26,55,6,39.1,16.39,17.880000000000003
133,171,118,116,79,28.58,12.0,11.92
137,164,97,54,175,30.78,12.01,11.96
194,53,186,111,108,24.92,10.83,11.2
130,5,148,151,13,35.1,15.69,16.0
107,134,148,46,24,30.02,14.23,14.0
169,122,93,4,132,41.38,18.98,20.16
30,156,93,74,176,33.0,13.75,13.240000000000002
95,78,4,175,105,37.89,16.67,19.400000000000002
25,26,78,50,198,31.55,11.9,12.2
172,4,115,15,105,35.01,17.96,19.32
163,124,118,53,150,26.39,9.34,9.64
157,18,1,72,6,43.48,21.88,23.28000000000001
95,78,185,19,56,31.71,13.71,13.96
193,125,49,29,146,34.85,12.0,13.600000000000001
95,100,183,118,35,28.08,13.14,12.520000000000003
192,88,101,31,65,29.54,13.14,13.400000000000002
31,31,20,157,85,31.67,13.57,16.680000000000003
164,100,54,177,26,31.4,13.47,13.68
6,158,168,120,198,35.43,15.57,16.280000000000005
11,185,180,127,74,34.53,14.47,14.88
91,117,36,95,68,32.78,13.52,14.600000000000005
123,134,122,184,186,30.68,11.16,11.36
107,125,174,75,101,26.28,10.56,10.840000000000002
59,40,125,152,66,31.88,12.0,12.240000000000002
140,109,178,173,178,21.2,8.05,11.440000000000001
21,149,186,147,24,29.33,11.38,11.08
18,91,45,139,37,35.6,15.72,15.360000000000003
106,17,22,174,165,33.81,13.62,13.440000000000001
9,32,75,99,59,37.63,17.6,18.28
181,171,174,84,112,27.55,10.69,11.600000000000001
44,134,73,28,39,41.27,17.78,20.160000000000004
138,193,108,24,84,27.52,11.35,11.8
132,63,183,131,65,27.7,13.67,14.440000000000001
43,40,118,180,60,30.59,11.89,11.720000000000002
103,91,195,146,186,27.32,11.73,11.920000000000002
37,119,112,184,7,35.79,14.2,14.920000000000003
152,98,188,46,100,25.64,10.52,10.840000000000002
130,13,123,70,103,31.75,14.43,14.52
64,181,187,105,180,25.5,10.61,10.76
165,120,92,140,84,27.67,10.86,11.440000000000001
182,190,168,20,194,31.8,12.77,13.680000000000003
185,57,136,159,48,26.91,10.41,11.120000000000001
103,170,97,162,2,32.61,14.38,14.800000000000002
80,118,134,182,119,28.91,10.96,12.160000000000002
166,45,24,4,103,42.64,19.78,22.12
