n0,monte_carlo,monte_carlo_max_hop,two_hop
243,45.1,5.39,4.559999999999999
606,23.0,1.63,1.6800000000000002
557,10.79,2.02,1.96
133,60.68,5.64,6.359999999999992
378,25.72,1.98,1.9600000000000002
937,37.96,3.66,3.3999999999999986
618,23.56,2.14,2.04
485,19.11,2.2,2.04
640,28.96,2.74,2.6400000000000006
594,63.52,6.61,5.759999999999993
67,33.07,4.09,4.560000000000001
620,16.3,2.49,2.6400000000000006
13,127.11,11.43,11.440000000000003
930,30.3,4.31,4.080000000000001
857,22.29,1.8,1.92
480,14.85,1.64,1.84
265,30.48,3.93,3.7600000000000007
564,22.06,1.69,1.7199999999999998
239,28.75,2.87,2.7200000000000006
196,41.92,2.97,2.920000000000001
734,41.86,3.09,2.880000000000001
481,25.77,2.04,2.3200000000000003
553,24.16,2.3,2.16
856,29.56,1.83,1.92
562,14.02,1.47,1.56
487,25.34,2.22,2.28
406,9.69,2.1,2.08
654,23.73,1.77,1.7599999999999998
881,21.39,1.92,2.24
154,16.56,3.17,3.0399999999999996
237,19.73,2.96,3.1599999999999993
650,49.42,5.55,5.479999999999992
155,60.77,4.39,4.480000000000002
888,7.02,1.48,1.56
948,19.8,2.2,2.0
535,23.5,2.2,2.2800000000000002
399,56.71,3.62,3.6000000000000005
759,30.32,2.5,2.5200000000000005
15,68.03,9.38,9.719999999999994
687,31.19,2.17,2.3600000000000003
795,21.61,1.79,1.8800000000000001
65,35.11,4.44,4.240000000000001
163,25.15,3.3,3.1199999999999997
776,27.52,2.38,2.6800000000000006
980,16.61,1.96,1.76
605,23.13,1.95,2.24
43,65.37,5.04,5.200000000000001
308,30.06,3.29,3.5999999999999988
798,25.37,1.64,1.7199999999999998
31,58.66,5.64,5.600000000000001
843,16.5,1.96,1.76
886,47.84,4.58,5.639999999999992
275,38.24,2.28,2.5200000000000005
484,38.22,3.38,3.6400000000000006
609,35.13,2.7,3.0000000000000004
736,54.59,7.08,6.359999999999992
942,20.39,1.71,1.56
899,14.63,1.98,1.84
396,37.56,2.75,2.6800000000000006
731,45.67,3.67,3.839999999999999
807,39.11,3.93,3.680000000000001
943,26.88,2.01,2.2
437,13.84,2.05,1.9999999999999998
404,34.46,6.59,5.999999999999993
745,23.86,2.01,2.24
820,21.77,1.89,1.84
590,42.89,5.15,5.439999999999992
455,12.09,1.77,1.72
987,8.31,1.66,1.64
958,15.55,2.03,1.7999999999999998
137,47.5,4.42,4.040000000000001
899,19.0,1.81,1.84
374,25.04,2.17,2.2
99,52.11,4.02,3.7600000000000002
36,103.01,9.17,9.240000000000004
139,17.87,2.6,2.6399999999999997
506,29.86,3.55,3.440000000000001
222,13.77,2.38,2.2800000000000002
264,23.56,1.88,1.76
988,20.57,1.52,1.76
688,39.64,3.62,4.159999999999998
446,21.09,2.11,2.0
797,37.74,2.43,2.5600000000000005
641,15.8,1.84,1.96
875,25.51,1.73,1.72
308,32.64,3.84,3.5999999999999988
431,42.72,5.01,5.439999999999992
519,23.91,1.72,1.6400000000000001
853,42.63,6.46,5.5599999999999925
395,24.29,3.14,3.12
587,43.92,5.76,5.5199999999999925
359,52.2,3.04,2.8800000000000003
546,25.0,2.48,2.2399999999999998
599,22.8,2.11,2.08
417,20.95,1.73,1.6800000000000002
598,23.98,2.48,2.44
237,22.04,2.77,3.1599999999999993
925,10.01,1.8,1.9200000000000002
344,45.46,3.16,3.280000000000001
698,39.75,2.36,2.6000000000000005
