n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,41,265,988,523,497,414,182.76,32.49,35.51999999999999
940,802,849,310,991,488,366,597,913,929,223,160.82,25.15,24.64
516,142,288,143,773,97,633,818,256,931,545,167.8,28.72,29.759999999999998
722,829,616,923,150,317,101,747,75,920,870,162.2,32.06,31.279999999999994
700,338,483,573,103,362,444,323,625,655,934,176.47,32.66,35.87999999999999
209,989,565,488,453,886,533,266,63,824,940,177.7,36.81,44.35999999999997
561,937,14,95,736,860,408,727,844,803,684,185.25,48.2,48.639999999999986
640,1,626,505,847,888,341,249,747,333,720,173.04,26.93,28.560000000000006
891,64,195,939,581,227,244,822,990,145,822,160.82,24.28,27.240000000000006
556,458,93,82,327,896,520,955,501,111,308,172.14,37.27,40.039999999999985
564,298,723,127,560,340,834,944,553,208,986,156.74,26.1,26.040000000000006
818,617,560,601,294,455,93,610,817,394,324,157.28,31.13,31.079999999999995
589,247,297,188,193,841,191,33,627,672,266,182.32,33.63,35.36
487,70,91,695,775,133,897,153,945,39,862,186.75,42.2,40.879999999999995
82,919,716,945,849,553,699,400,857,722,537,160.65,26.61,28.880000000000003
282,534,831,241,869,220,916,695,603,845,972,170.13,29.65,32.55999999999998
429,593,281,461,504,676,656,717,938,812,365,145.88,24.0,23.960000000000004
84,332,627,118,498,601,645,343,865,194,248,196.91,39.35,40.84
16,749,277,119,722,225,380,813,174,340,436,184.71,36.13,37.84
835,63,103,801,149,875,714,224,46,836,587,190.52,41.72,43.39999999999999
649,931,958,547,616,696,75,27,127,650,193,188.2,41.79,43.35999999999999
620,850,589,122,400,93,379,853,118,37,620,182.29,32.15,38.11999999999999
22,199,984,993,189,735,126,490,215,744,819,186.1,35.49,36.400000000000006
62,959,695,23,557,435,635,103,855,266,71,192.47,48.28,48.759999999999984
226,73,662,308,358,446,184,62,515,478,40,188.48,40.13,39.679999999999986
610,103,716,400,204,266,367,926,749,481,858,172.54,32.77,35.75999999999999
923,940,583,173,714,688,208,989,785,59,807,176.87,35.23,35.71999999999999
692,162,865,165,350,542,256,120,611,943,452,169.02,29.89,29.520000000000003
681,179,13,482,697,419,921,582,895,520,939,191.55,38.82,40.6
318,664,365,397,857,673,256,157,574,707,12,186.89,44.8,49.43999999999997
468,759,80,343,756,46,557,287,138,245,780,187.13,36.7,36.760000000000005
976,493,360,624,294,689,367,604,969,913,648,147.22,29.04,29.559999999999995
874,635,135,732,317,397,766,424,848,666,82,171.31,31.8,34.19999999999999
1,608,196,715,342,163,245,228,652,458,387,176.7,31.59,34.6
727,896,689,581,895,424,32,411,892,718,581,168.16,31.64,36.35999999999999
428,790,678,726,47,169,456,65,265,718,161,172.79,32.58,32.760000000000005
457,540,906,498,929,574,618,773,0,905,39,196.73,58.25,59.159999999999975
506,333,319,857,478,51,828,842,896,997,831,168.67,30.04,29.680000000000007
425,192,561,986,648,85,857,742,133,15,411,185.41,42.1,48.91999999999997
972,694,427,323,3,218,14,734,772,2,842,189.84,75.0,80.60000000000004
691,541,626,100,195,121,622,664,203,894,309,154.54,26.7,27.64
286,705,186,102,487,874,944,406,642,83,22,170.74,38.32,40.199999999999996
281,935,463,819,811,118,882,262,136,669,533,166.38,26.05,27.0
