n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,41,265,988,523,497,414,940,802,182.03,39.15,39.55999999999999
849,310,991,488,366,597,913,929,223,516,142,288,143,168.61,31.36,30.36
773,97,633,818,256,931,545,722,829,616,923,150,317,173.56,38.4,39.91999999999999
101,747,75,920,870,700,338,483,573,103,362,444,323,195.21,41.14,41.23999999999999
625,655,934,209,989,565,488,453,886,533,266,63,824,177.08,42.24,47.99999999999997
940,561,937,14,95,736,860,408,727,844,803,684,640,197.59,50.78,53.55999999999999
1,626,505,847,888,341,249,747,333,720,891,64,195,176.37,35.53,34.24000000000001
939,581,227,244,822,990,145,822,556,458,93,82,327,181.02,37.49,40.239999999999995
896,520,955,501,111,308,564,298,723,127,560,340,834,165.3,34.6,34.39999999999999
944,553,208,986,818,617,560,601,294,455,93,610,817,179.7,34.86,36.47999999999999
394,324,589,247,297,188,193,841,191,33,627,672,266,182.97,40.02,39.35999999999999
487,70,91,695,775,133,897,153,945,39,862,82,919,191.88,44.16,47.31999999999999
716,945,849,553,699,400,857,722,537,282,534,831,241,177.85,33.31,34.8
869,220,916,695,603,845,972,429,593,281,461,504,676,171.72,32.59,34.03999999999999
656,717,938,812,365,84,332,627,118,498,601,645,343,195.45,40.72,41.720000000000006
865,194,248,16,749,277,119,722,225,380,813,174,340,184.9,45.0,44.92
436,835,63,103,801,149,875,714,224,46,836,587,649,202.58,46.23,48.0
931,958,547,616,696,75,27,127,650,193,620,850,589,189.34,47.39,47.879999999999995
122,400,93,379,853,118,37,620,22,199,984,993,189,195.22,45.79,46.359999999999985
735,126,490,215,744,819,62,959,695,23,557,435,635,187.94,48.41,50.03999999999998
103,855,266,71,226,73,662,308,358,446,184,62,515,192.95,49.77,52.31999999999999
478,40,610,103,716,400,204,266,367,926,749,481,858,187.69,41.28,42.31999999999999
923,940,583,173,714,688,208,989,785,59,807,692,162,189.97,41.66,40.75999999999999
865,165,350,542,256,120,611,943,452,681,179,13,482,189.16,47.97,49.239999999999995
697,419,921,582,895,520,939,318,664,365,397,857,673,166.08,34.02,35.72
256,157,574,707,12,468,759,80,343,756,46,557,287,197.39,56.31,59.559999999999995
138,245,780,976,493,360,624,294,689,367,604,969,913,172.12,32.81,33.239999999999995
648,874,635,135,732,317,397,766,424,848,666,82,1,180.26,37.5,39.75999999999999
608,196,715,342,163,245,228,652,458,387,727,896,689,178.77,39.71,39.04
581,895,424,32,411,892,718,581,428,790,678,726,47,176.28,39.36,44.96
169,456,65,265,718,161,457,540,906,498,929,574,618,179.06,39.04,37.99999999999999
773,0,905,39,506,333,319,857,478,51,828,842,896,198.79,60.28,62.83999999999998
997,831,425,192,561,986,648,85,857,742,133,15,411,194.11,48.53,53.75999999999998
972,694,427,323,3,218,14,734,772,2,842,691,541,199.23,78.43,84.60000000000002
626,100,195,121,622,664,203,894,309,286,705,186,102,175.32,40.73,39.959999999999994
487,874,944,406,642,83,22,281,935,463,819,811,118,194.37,38.87,38.52
882,262,136,669,533,836,666,660,355,117,892,158,285,178.0,38.4,41.239999999999995
871,19,43,41,210,697,265,571,322,969,375,960,581,195.89,49.08,50.919999999999995
931,869,43,866,767,984,718,622,671,506,729,659,924,161.08,28.3,28.880000000000006
469,655,445,381,892,550,182,212,384,601,298,9,141,192.26,64.47,68.55999999999999
154,277,341,345,808,376,735,95,346,798,635,36,42,190.55,44.37,47.120000000000005
276,167,153,597,296,369,404,561,132,300,117,489,748,180.72,44.69,47.39999999999998
245,956,49,315,183,877,535,746,72,309,412,855,336,192.39,42.2,47.43999999999997
306,424,111,101,574,930,492,485,345,861,817,999,831,176.46,38.93,41.11999999999999
351,127,490,118,716,509,436,38,309,343,752,703,915,185.47,35.08,36.080000000000005
159,941,170,641,578,384,825,997,654,89,67,827,86,181.43,38.35,38.4
202,767,226,62,394,8,100,403,569,531,296,459,942,191.77,44.22,46.96000000000001
500,807,598,731,695,222,433,85,377,225,267,599,795,178.33,35.24,36.24
170,441,196,367,117,65,841,884,873,718,28,924,538,186.75,44.61,50.199999999999974
