n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,37,0,149,678,600,481,988,777,199.36,63.16,65.51999999999997
752,382,327,788,22,279,500,821,202,747,893,423,932,551,552,197.98,39.99,42.760000000000005
698,96,197,576,566,716,824,746,271,678,822,624,702,90,864,191.47,45.34,46.08
434,343,95,370,819,419,824,256,455,716,96,773,201,717,650,195.84,46.93,49.27999999999998
815,298,99,974,46,602,924,205,847,671,934,369,498,955,852,187.68,37.49,40.0
931,198,527,589,660,993,714,913,824,515,999,938,29,648,370,189.1,36.69,38.480000000000004
250,616,440,311,365,603,122,91,512,901,694,537,203,119,622,193.71,40.27,41.80000000000001
678,274,319,736,200,388,495,228,141,611,214,854,886,897,714,197.64,46.62,50.759999999999984
534,12,193,796,173,17,663,340,571,926,687,635,633,313,383,190.56,51.58,52.15999999999999
386,540,398,296,129,695,500,55,189,433,608,764,407,98,451,200.95,46.28,47.51999999999998
251,825,91,913,617,686,891,910,456,457,802,851,389,815,78,169.73,35.31,35.07999999999999
529,436,482,310,722,836,418,963,87,196,764,696,272,462,499,196.16,41.11,42.51999999999998
739,802,988,176,18,22,550,126,257,603,821,369,192,262,514,211.93,59.22,62.43999999999998
462,337,949,529,260,420,949,900,431,626,497,274,616,486,672,186.27,39.72,40.56
490,503,145,738,386,508,313,649,824,478,331,375,675,166,994,187.37,43.73,44.23999999999998
935,945,634,385,711,617,272,327,661,407,998,499,746,812,161,163.43,37.55,38.199999999999996
959,847,297,573,6,638,460,987,58,186,30,624,792,583,114,202.71,62.15,67.71999999999998
698,735,379,370,960,509,873,603,63,941,197,158,970,275,628,189.53,39.39,41.2
15,432,825,801,819,833,537,503,77,480,237,102,379,370,985,193.58,53.76,58.51999999999998
148,697,640,249,621,325,147,38,643,684,99,731,107,46,661,197.87,52.39,54.2
489,473,741,921,70,644,31,718,564,130,631,852,946,85,164,183.13,42.68,43.28
632,646,933,271,929,858,914,669,462,511,710,20,810,652,140,183.14,44.65,42.99999999999999
