n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,485,640,594,67,620,13,930,857,480,265,206.64,58.82,60.79999999999998
564,239,196,734,481,553,856,562,487,406,654,881,154,237,650,155,888,189.09,44.55,43.63999999999999
948,535,399,759,15,687,795,65,163,776,980,605,43,308,798,31,843,203.4,52.95,56.12
886,275,484,609,736,942,899,396,731,807,943,437,404,745,820,590,455,183.88,52.21,55.71999999999998
987,958,137,899,374,99,36,139,506,222,264,988,688,446,797,641,875,203.13,49.19,48.48
308,431,519,853,395,587,359,546,599,417,598,237,925,344,698,937,951,192.82,50.79,52.839999999999975
29,876,286,620,687,712,167,715,881,334,987,554,926,585,582,106,730,188.15,46.13,46.56
671,216,648,851,587,273,291,127,64,493,874,654,495,90,352,819,68,198.2,47.07,50.16
420,918,154,20,300,437,787,425,893,121,45,619,629,779,46,386,735,201.2,61.03,64.52
600,338,564,902,944,285,517,241,36,317,7,78,110,614,548,32,971,219.33,69.33,73.15999999999997
202,994,417,298,625,269,159,706,43,888,347,321,368,981,141,918,882,201.95,47.11,51.0
386,385,471,890,532,395,659,887,609,697,572,105,635,996,963,830,519,186.42,38.79,38.52000000000001
277,441,649,737,732,243,958,308,447,264,533,310,561,347,11,807,425,206.03,57.29,60.319999999999986
593,322,20,385,630,603,647,136,61,648,642,340,477,361,695,939,361,209.75,49.95,51.959999999999994
623,723,285,755,501,22,603,62,977,692,21,986,378,257,643,467,305,209.32,58.45,63.35999999999998
606,615,327,181,372,189,320,776,378,864,609,270,307,806,386,107,790,192.3,45.52,46.28
832,27,994,582,700,752,134,317,512,227,669,823,275,244,335,191,694,199.64,55.87,58.27999999999999
445,665,714,99,104,615,329,971,341,691,853,229,448,829,876,983,173,190.89,50.69,52.71999999999998
81,344,759,665,223,906,582,461,277,230,805,123,34,542,980,195,322,207.54,48.85,51.16000000000001
826,856,858,588,187,884,285,348,826,847,657,87,825,634,353,603,132,185.99,45.44,48.319999999999986
431,298,530,812,870,277,475,354,649,426,297,429,581,419,36,942,423,196.15,50.24,53.199999999999996
159,204,4,488,965,852,901,637,522,444,572,972,949,734,227,33,763,203.65,64.07,74.19999999999996
467,856,771,678,765,531,986,295,556,349,911,232,882,69,878,602,994,204.24,45.17,47.32
