n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,92,68,20,411,562,939,296,819,783,60,227,532,209.48,64.6,67.59999999999998
549,368,283,798,176,846,108,268,219,965,949,26,848,656,826,266,819,278,198,202.92,48.69,51.320000000000014
168,317,296,642,888,749,983,875,868,901,381,88,865,620,345,687,397,518,254,210.75,59.83,64.35999999999999
182,253,484,286,91,967,957,837,886,964,560,860,307,7,930,298,586,721,903,217.25,68.19,72.32
319,868,783,520,199,423,433,613,295,441,462,165,238,312,265,832,816,44,83,208.4,57.84,59.95999999999999
47,473,641,287,531,547,663,482,717,351,148,689,200,68,422,935,207,650,647,205.07,61.62,63.15999999999999
451,282,188,364,446,764,602,328,649,571,203,926,331,103,859,63,725,234,284,198.63,56.06,60.15999999999998
783,596,630,882,243,125,339,957,181,297,470,26,43,365,714,84,917,987,977,210.86,61.07,66.56
292,752,691,982,334,18,330,295,329,989,156,793,667,420,882,965,890,635,696,203.59,60.44,64.71999999999998
837,79,300,632,196,915,454,299,139,256,390,613,984,162,339,586,9,372,45,214.46,68.56,71.19999999999999
465,173,373,802,823,371,297,585,99,449,212,434,938,212,116,60,63,56,754,212.42,57.56,64.64000000000001
172,609,693,993,153,621,41,559,502,596,255,329,36,125,854,541,299,792,419,214.18,60.66,61.919999999999995
667,205,489,206,247,449,420,503,37,224,431,454,254,662,910,438,850,220,510,211.26,59.5,64.67999999999999
192,32,37,260,259,248,538,213,790,237,427,890,267,145,332,52,912,950,322,219.96,60.02,66.39999999999998
578,119,583,412,985,922,668,669,891,809,734,762,41,506,396,95,440,215,952,202.93,57.47,56.72000000000001
894,586,921,966,946,169,344,303,672,482,818,922,657,322,834,430,540,220,670,197.35,45.47,45.12
820,702,820,274,346,944,401,979,508,76,879,994,286,984,642,684,195,45,404,210.67,54.77,58.59999999999999
920,634,130,785,991,275,683,876,61,890,171,704,650,475,582,483,764,413,949,205.4,46.98,47.67999999999999
399,223,817,3,216,944,160,13,624,897,263,118,405,829,788,801,390,898,227,209.84,94.32,99.80000000000005
563,54,899,973,206,165,687,622,338,838,913,575,792,803,482,937,539,450,27,209.02,60.51,63.0
80,35,712,608,115,500,574,885,263,622,792,142,42,371,81,786,900,535,926,207.22,58.93,63.439999999999976
10,304,857,355,847,76,87,982,556,464,390,210,806,318,397,239,776,498,876,218.47,65.34,68.91999999999997
989,409,97,79,117,937,635,817,906,374,524,444,425,878,728,795,454,68,643,217.64,64.9,70.24
902,963,200,652,309,952,856,490,432,121,817,571,171,380,895,166,180,723,152,206.81,52.93,52.92000000000001
334,506,880,346,264,554,997,925,4,727,172,5,663,319,123,558,113,498,805,214.68,72.64,80.43999999999998
732,615,495,538,77,533,251,421,867,300,365,234,785,184,884,641,1,692,54,212.53,52.01,53.239999999999995
624,929,320,557,934,930,478,801,933,581,312,959,888,518,805,451,627,632,452,202.95,53.47,57.720000000000006
401,144,257,789,611,370,677,348,136,443,84,620,147,691,828,637,181,292,923,206.84,60.14,61.43999999999999
962,380,202,589,812,358,691,635,904,95,78,412,661,958,925,183,337,669,380,190.81,47.83,51.400000000000006
334,178,307,904,23,618,20,536,972,772,849,90,820,367,826,832,976,100,162,213.49,68.36,72.35999999999997
186,598,507,676,587,960,78,778,947,991,119,176,667,490,691,907,763,227,632,204.9,50.77,52.47999999999999
805,851,676,310,873,950,704,415,902,613,243,918,501,720,226,317,376,235,763,200.43,54.74,54.479999999999976
334,550,641,542,462,920,822,409,518,410,992,837,320,290,448,421,602,13,257,206.1,55.18,58.56
188,918,553,469,709,574,629,845,373,413,973,397,638,28,159,523,69,469,997,212.78,59.58,67.43999999999998
988,645,942,355,618,815,319,932,93,773,264,495,227,655,950,488,913,618,796,192.45,43.72,45.75999999999999
67,152,946,244,70,306,135,970,48,167,407,809,595,697,635,560,730,982,551,206.45,51.59,52.20000000000001
268,18,536,251,161,769,99,210,32,972,324,83,124,277,62,899,658,295,624,213.98,76.65,86.35999999999999
911,646,718,176,748,152,670,424,975,133,899,726,736,83,573,373,710,2,741,205.31,55.35,64.15999999999997
901,565,159,514,421,157,220,864,305,495,519,69,384,172,167,895,911,262,527,202.26,60.3,62.439999999999976
400,550,698,310,882,410,336,174,396,63,433,28,285,897,692,19,311,983,808,217.74,65.25,67.67999999999999
156,87,160,118,868,623,843,15,237,236,566,8,488,932,735,545,189,906,845,208.83,63.46,66.63999999999999
463,749,723,890,943,699,959,714,388,344,867,176,853,543,601,192,109,486,634,203.1,58.32,68.51999999999997
924,933,365,312,952,662,851,918,423,614,755,38,840,647,217,261,592,878,821,201.93,47.03,48.839999999999996
677,605,314,803,917,488,640,853,347,826,854,85,913,241,914,323,904,106,674,207.55,46.6,49.91999999999999
