n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,404,666,49,74,840,548,96,374,596,59,931,519,219,38,88,444,428,71,216.56,74.05,82.51999999999998
246,92,564,434,60,846,579,126,970,228,645,642,596,970,63,590,599,406,50,999,226,217.03,57.63,59.43999999999999
47,570,879,136,296,429,147,553,120,584,315,573,835,698,185,105,595,584,654,192,381,211.48,64.19,69.27999999999999
99,560,729,64,577,61,633,210,508,696,544,437,795,321,476,599,945,464,370,306,254,214.56,58.41,64.35999999999997
813,184,715,798,249,83,588,307,537,506,896,351,746,459,294,623,74,120,524,428,168,210.12,62.91,67.11999999999999
775,350,155,955,500,431,40,985,684,79,782,571,586,808,896,837,321,348,711,358,608,210.08,58.81,61.44
508,593,816,467,70,860,95,967,276,485,713,680,66,62,748,718,317,662,591,697,841,205.59,60.23,64.63999999999997
456,291,733,395,908,684,355,23,963,472,363,172,625,119,505,60,223,786,294,132,756,214.54,68.38,68.71999999999998
253,407,400,938,892,508,82,170,459,411,562,284,904,140,838,440,884,563,285,723,425,219.64,64.72,71.95999999999998
367,699,905,389,980,236,154,84,180,154,237,674,238,12,496,851,603,186,269,288,4,214.05,84.33,95.03999999999996
149,429,547,378,624,579,326,975,128,707,879,527,973,632,670,692,757,55,467,921,891,206.77,55.53,55.99999999999999
798,974,895,696,817,572,401,407,408,403,106,493,649,410,63,195,68,213,451,166,112,215.6,62.41,67.95999999999998
348,615,53,104,0,580,154,549,103,971,372,628,26,72,895,212,628,385,152,649,258,224.99,86.37,97.52
978,355,616,372,485,125,118,869,499,477,491,495,319,87,147,104,767,350,758,271,490,201.38,55.29,55.72
848,708,165,528,23,210,973,974,540,370,150,706,556,936,27,776,540,305,658,884,93,209.86,73.01,81.47999999999999
712,865,267,530,375,930,171,364,790,228,545,554,797,514,337,651,228,627,830,807,776,209.48,56.62,61.71999999999999
873,199,825,245,837,410,757,822,232,204,530,504,364,748,29,28,809,286,483,265,198,215.82,69.1,73.95999999999998
709,619,979,352,457,827,959,740,357,977,997,373,82,225,104,232,481,201,345,209,494,213.74,66.34,68.39999999999998
639,921,624,860,1,490,931,668,352,818,658,86,854,676,122,931,397,801,728,768,204,201.68,49.89,55.440000000000005
489,910,182,444,808,651,340,88,820,968,994,739,405,474,411,761,969,86,742,162,174,206.46,56.71,60.83999999999999
130,28,154,604,926,476,825,671,149,626,846,610,485,673,959,358,159,561,561,134,21,208.23,67.11,73.47999999999998
14,818,994,743,665,105,539,767,956,142,444,892,199,845,894,216,28,257,217,299,513,219.42,76.36,84.19999999999995
246,782,600,333,265,557,429,854,134,62,931,757,362,919,469,678,597,834,925,529,430,215.69,60.39,62.95999999999999
846,939,899,513,133,544,155,536,522,19,893,450,795,187,623,4,794,818,153,176,144,222.08,78.56,85.11999999999999
484,633,742,123,569,63,333,698,530,543,568,494,803,795,108,904,573,58,254,195,283,220.26,67.55,73.07999999999997
43,790,100,519,463,575,28,778,915,934,64,453,333,627,996,517,620,524,204,709,283,219.46,61.78,67.6
463,520,546,826,489,519,964,253,715,535,897,897,964,950,265,944,572,914,965,207,860,205.91,44.33,48.440000000000005
458,140,426,124,401,452,323,74,687,246,438,74,217,685,310,802,125,918,795,158,962,209.38,59.79,73.95999999999998
733,658,676,374,146,259,904,140,990,478,224,764,975,96,407,906,498,166,683,852,229,215.24,60.71,62.55999999999999
165,723,441,527,413,347,431,200,365,326,94,739,374,19,346,567,469,451,720,18,393,213.28,69.96,76.43999999999998
339,529,638,302,524,983,65,115,940,807,234,995,897,107,86,271,278,40,927,797,185,215.52,54.12,54.520000000000024
276,773,132,839,432,869,933,692,838,968,264,415,152,549,941,527,584,506,717,334,91,201.28,54.41,55.83999999999998
285,58,818,704,187,435,916,74,275,960,17,649,90,820,266,85,622,876,227,68,270,209.47,65.36,71.08
883,124,464,11,347,566,427,948,937,274,636,132,44,539,726,244,960,112,992,165,268,218.64,73.9,78.56
51,185,206,954,319,643,312,543,777,210,296,456,512,688,182,277,355,822,18,256,37,214.58,74.95,81.91999999999996
15,18,750,517,564,194,526,486,251,957,457,108,674,838,665,442,672,506,559,854,910,222.35,70.74,78.83999999999997
402,993,518,315,704,220,235,350,203,852,903,723,746,651,143,414,355,55,857,132,14,214.67,68.64,71.08
72,640,758,900,261,441,167,56,86,681,861,390,891,518,686,994,288,613,248,709,300,209.03,55.68,58.64
46,470,189,161,275,456,3,269,372,984,336,995,560,331,250,35,988,903,316,223,365,211.68,89.5,92.56000000000006
187,1,343,390,85,486,285,514,671,205,254,516,794,5,93,270,836,91,147,409,600,216.87,72.02,80.39999999999998
42,403,23,306,311,644,238,86,599,980,541,873,768,158,673,914,733,802,900,610,398,218.73,62.05,62.84
782,333,737,506,153,290,741,633,658,148,44,844,855,732,913,525,642,439,751,717,831,208.46,63.92,66.47999999999999
517,142,931,536,770,516,582,854,832,823,16,846,702,598,817,914,728,699,979,709,658,210.26,55.55,59.87999999999998
235,87,31,42,136,652,369,982,107,385,855,462,571,51,642,19,641,544,697,250,501,220.05,59.79,63.80000000000001
270,3,467,816,71,766,954,515,919,548,94,675,538,67,763,754,485,258,828,76,866,216.71,90.93,94.72000000000004
271,240,746,774,210,236,757,665,999,471,505,865,391,78,490,932,700,294,785,47,631,215.98,62.48,63.44
647,658,203,79,614,150,339,260,667,761,709,311,636,581,136,12,493,62,497,275,995,219.85,74.03,77.51999999999997
688,101,708,222,691,501,297,725,528,292,475,477,477,785,121,915,562,204,319,87,958,208.55,52.18,57.19999999999999
484,17,296,469,78,839,518,991,460,275,396,214,938,968,952,215,76,595,92,145,765,220.26,72.02,69.48
