n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,57.91,8.48,8.839999999999993
82,496,780,85.42,9.18,9.0
267,37,0,164.37,31.04,32.51999999999999
149,678,600,92.29,9.81,9.959999999999999
481,988,777,50.58,6.05,6.0
752,382,327,79.73,7.4,8.040000000000001
788,22,279,108.23,14.17,14.239999999999995
500,821,202,96.98,9.63,9.120000000000001
747,893,423,52.78,6.02,5.8
932,551,552,68.64,5.48,5.72
698,96,197,113.5,11.24,13.319999999999993
576,566,716,65.66,8.58,7.760000000000001
824,746,271,82.28,7.61,7.960000000000001
678,822,624,85.18,7.47,7.640000000000001
702,90,864,100.3,9.56,9.64
434,343,95,108.17,11.12,10.8
370,819,419,81.35,7.43,7.080000000000001
824,256,455,79.32,8.65,8.559999999999999
716,96,773,101.16,12.24,13.399999999999995
201,717,650,76.82,9.51,9.759999999999993
815,298,99,88.8,8.72,8.68
974,46,602,116.5,11.01,10.000000000000002
924,205,847,86.77,6.47,6.720000000000001
671,934,369,45.86,5.93,5.8
498,955,852,77.91,8.43,8.879999999999999
931,198,527,57.06,9.06,9.360000000000003
589,660,993,79.43,5.91,5.880000000000001
714,913,824,60.62,6.43,6.32
515,999,938,54.19,6.46,6.7200000000000015
29,648,370,105.72,10.03,10.360000000000003
250,616,440,87.41,8.91,8.96
311,365,603,80.14,8.73,8.760000000000002
122,91,512,82.07,8.27,8.600000000000001
901,694,537,54.5,7.35,6.999999999999998
203,119,622,78.19,9.35,8.72
678,274,319,75.49,8.05,8.24
736,200,388,88.33,13.38,12.679999999999993
495,228,141,80.74,8.05,8.360000000000001
611,214,854,77.6,12.38,12.159999999999995
886,897,714,62.35,9.33,9.639999999999992
534,12,193,132.88,18.02,19.39999999999999
796,173,17,118.03,14.73,16.159999999999997
663,340,571,54.73,6.05,6.04
926,687,635,55.82,5.69,5.68
633,313,383,58.11,5.98,6.32
386,540,398,108.05,9.35,9.96
296,129,695,58.29,6.82,7.279999999999999
500,55,189,68.35,8.19,8.0
433,608,764,80.88,10.31,11.119999999999992
407,98,451,78.03,10.75,12.119999999999992
251,825,91,77.91,7.81,7.760000000000002
913,617,686,44.1,4.99,5.08
891,910,456,44.29,5.41,5.6
457,802,851,53.65,9.18,9.119999999999992
389,815,78,85.18,7.73,7.5200000000000005
529,436,482,109.95,12.26,11.919999999999995
310,722,836,63.52,5.72,5.92
418,963,87,91.81,10.48,11.119999999999994
196,764,696,76.56,7.56,7.640000000000001
272,462,499,62.7,5.78,6.079999999999999
739,802,988,54.1,4.99,5.12
176,18,22,157.23,27.27,24.599999999999994
550,126,257,109.81,11.41,11.36
603,821,369,81.13,6.67,6.4
192,262,514,100.04,15.67,16.919999999999987
462,337,949,49.72,7.26,7.120000000000001
529,260,420,77.89,8.57,10.040000000000003
949,900,431,70.98,9.89,9.959999999999994
626,497,274,59.89,5.39,5.44
616,486,672,89.83,8.43,8.0
490,503,145,88.73,11.53,10.559999999999992
738,386,508,97.95,14.25,14.959999999999985
313,649,824,73.05,6.59,6.920000000000001
478,331,375,52.13,5.85,5.96
675,166,994,55.62,6.17,6.08
935,945,634,77.22,10.1,10.399999999999991
385,711,617,30.55,5.32,5.880000000000001
272,327,661,76.79,9.09,8.48
407,998,499,75.65,6.47,6.76
746,812,161,53.0,7.08,6.840000000000001
959,847,297,84.99,11.67,10.599999999999993
573,6,638,157.6,26.54,26.639999999999997
460,987,58,78.1,12.17,11.959999999999994
186,30,624,110.77,13.89,13.720000000000004
792,583,114,68.52,7.15,7.800000000000001
698,735,379,84.95,7.97,8.120000000000001
370,960,509,59.53,6.5,7.280000000000001
873,603,63,97.7,10.02,9.600000000000001
941,197,158,83.34,8.72,9.879999999999999
970,275,628,57.69,6.97,6.48
15,432,825,104.38,13.83,15.119999999999994
801,819,833,110.72,10.54,10.520000000000001
537,503,77,108.76,13.88,15.27999999999999
480,237,102,87.09,12.57,11.759999999999991
379,370,985,72.52,6.68,6.4799999999999995
148,697,640,73.83,7.93,8.080000000000002
249,621,325,95.8,9.8,10.8
147,38,643,118.89,12.5,13.679999999999993
684,99,731,103.6,11.66,10.760000000000002
107,46,661,96.46,12.17,11.280000000000001
