n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,101.98,17.97,15.919999999999991
780,267,37,0,149,165.99,36.75,37.35999999999999
678,600,481,988,777,109.12,13.54,12.879999999999999
752,382,327,788,22,131.64,15.74,16.680000000000003
279,500,821,202,747,121.33,15.53,16.599999999999994
893,423,932,551,552,71.51,9.75,9.56
698,96,197,576,566,110.85,15.07,17.679999999999996
716,824,746,271,678,115.17,14.24,14.080000000000002
822,624,702,90,864,111.02,15.05,14.56
434,343,95,370,819,121.98,17.45,15.560000000000002
419,824,256,455,716,113.92,14.15,14.200000000000001
96,773,201,717,650,118.44,20.28,19.759999999999987
815,298,99,974,46,119.84,16.53,16.840000000000003
602,924,205,847,671,89.72,10.03,10.200000000000001
934,369,498,955,852,96.93,13.34,13.04
931,198,527,589,660,92.29,13.07,13.600000000000003
993,714,913,824,515,79.53,10.53,10.840000000000002
999,938,29,648,370,122.77,14.02,14.200000000000003
250,616,440,311,365,120.06,14.96,15.200000000000003
603,122,91,512,901,116.35,12.21,12.920000000000002
694,537,203,119,622,96.92,13.77,13.84
678,274,319,736,200,138.72,18.27,18.359999999999992
388,495,228,141,611,109.89,13.5,13.320000000000002
214,854,886,897,714,96.91,17.86,19.239999999999988
534,12,193,796,173,145.57,24.83,24.75999999999999
17,663,340,571,926,123.53,17.79,18.479999999999997
687,635,633,313,383,77.2,10.15,10.36
386,540,398,296,129,130.46,15.94,15.64
695,500,55,189,433,108.35,12.09,12.280000000000001
608,764,407,98,451,130.78,21.16,20.479999999999986
251,825,91,913,617,103.0,11.44,11.160000000000002
686,891,910,456,457,97.0,11.81,12.839999999999993
802,851,389,815,78,108.23,11.6,11.08
529,436,482,310,722,119.49,15.9,15.679999999999994
836,418,963,87,196,132.86,16.15,16.199999999999996
764,696,272,462,499,99.24,10.4,10.800000000000002
739,802,988,176,18,145.5,23.94,22.679999999999993
22,550,126,257,603,156.45,20.55,20.840000000000003
821,369,192,262,514,120.7,21.14,20.879999999999985
462,337,949,529,260,100.13,13.35,13.400000000000002
420,949,900,431,626,98.75,15.39,15.559999999999993
497,274,616,486,672,99.57,11.77,11.600000000000001
490,503,145,738,386,103.3,19.09,19.239999999999988
508,313,649,824,478,104.84,14.88,14.999999999999993
331,375,675,166,994,73.41,10.15,10.239999999999998
935,945,634,385,711,114.3,14.26,14.59999999999999
617,272,327,661,407,99.3,12.78,13.48
998,499,746,812,161,80.94,10.39,10.280000000000001
959,847,297,573,6,171.73,35.03,34.03999999999999
638,460,987,58,186,112.22,17.88,18.919999999999995
30,624,792,583,114,118.89,18.02,17.680000000000003
698,735,379,370,960,101.11,11.59,11.960000000000003
509,873,603,63,941,102.43,15.21,14.760000000000002
197,158,970,275,628,119.42,14.67,14.639999999999997
15,432,825,801,819,123.17,21.25,21.919999999999998
833,537,503,77,480,132.71,18.96,20.59999999999999
237,102,379,370,985,106.29,17.62,16.39999999999999
148,697,640,249,621,104.77,13.69,14.48
325,147,38,643,684,142.75,20.66,21.159999999999993
99,731,107,46,661,135.65,18.82,18.8
489,473,741,921,70,111.04,15.61,14.360000000000003
644,31,718,564,130,99.33,13.24,13.280000000000003
631,852,946,85,164,111.41,15.3,15.719999999999999
632,646,933,271,929,123.26,12.27,12.360000000000001
858,914,669,462,511,64.8,8.49,8.32
710,20,810,652,140,142.15,21.82,22.479999999999993
837,966,193,930,956,95.85,17.58,16.879999999999995
451,490,797,450,457,114.35,17.14,17.759999999999984
571,283,488,729,593,86.72,11.01,11.2
65,851,819,298,372,114.1,14.4,14.48
292,368,962,34,85,129.87,15.13,14.760000000000005
514,878,282,286,280,119.67,20.28,20.319999999999986
989,484,441,454,944,110.7,17.08,16.879999999999992
380,32,730,87,255,134.44,16.93,17.320000000000004
835,619,653,244,548,98.4,12.76,12.360000000000003
763,33,756,177,344,128.55,23.06,27.31999999999998
379,32,53,974,757,134.3,16.56,16.720000000000006
783,769,972,214,717,138.71,18.24,18.119999999999994
443,351,906,79,161,123.76,16.26,16.400000000000002
749,692,116,409,560,146.61,14.78,15.680000000000003
138,475,760,506,654,84.71,11.3,11.320000000000002
76,131,75,358,532,112.89,17.95,17.879999999999995
31,190,538,725,153,116.99,18.22,19.199999999999996
188,288,756,154,519,91.27,11.59,11.520000000000001
582,870,397,815,228,90.5,11.69,11.840000000000003
967,226,712,577,732,92.58,10.27,10.200000000000001
932,128,429,707,167,95.76,14.02,14.440000000000001
775,324,246,574,586,116.06,12.59,12.880000000000003
4,805,824,582,395,178.61,33.38,32.03999999999999
192,778,333,875,390,116.75,16.31,16.119999999999994
538,451,9,407,865,154.61,36.0,36.639999999999986
543,564,870,677,139,87.12,12.9,13.839999999999993
733,239,660,556,824,95.75,10.92,10.760000000000002
760,381,278,682,189,98.29,13.16,13.68
995,152,168,706,640,116.84,17.61,16.359999999999992
137,393,76,62,12,166.86,29.02,30.87999999999999
40,483,777,60,117,130.04,18.43,17.880000000000003
666,728,553,102,689,127.21,18.97,18.239999999999995
376,609,32,61,555,146.68,19.78,18.96
230,805,416,230,781,83.84,11.11,13.68
