n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,152.23,25.36,27.119999999999983
92,68,20,411,562,939,296,148.71,25.19,26.199999999999996
819,783,60,227,532,549,368,141.15,20.07,20.84
283,798,176,846,108,268,219,161.16,19.74,19.76
965,949,26,848,656,826,266,113.57,16.69,17.640000000000004
819,278,198,168,317,296,642,153.61,28.46,27.799999999999983
888,749,983,875,868,901,381,113.04,17.51,17.840000000000003
88,865,620,345,687,397,518,133.19,22.46,22.36
254,182,253,484,286,91,967,163.49,25.86,27.55999999999999
957,837,886,964,560,860,307,123.61,19.07,20.359999999999985
7,930,298,586,721,903,319,174.05,36.0,34.919999999999995
868,783,520,199,423,433,613,140.66,18.34,18.320000000000004
295,441,462,165,238,312,265,141.11,19.91,19.84
832,816,44,83,47,473,641,164.89,30.3,31.99999999999999
287,531,547,663,482,717,351,126.97,19.59,21.479999999999993
148,689,200,68,422,935,207,149.3,20.14,21.240000000000002
650,647,451,282,188,364,446,137.53,26.09,27.119999999999976
764,602,328,649,571,203,926,113.33,15.76,16.080000000000002
331,103,859,63,725,234,284,166.5,25.1,25.639999999999997
783,596,630,882,243,125,339,154.15,20.45,21.32
957,181,297,470,26,43,365,169.58,30.12,29.999999999999996
714,84,917,987,977,292,752,121.98,20.68,20.560000000000006
691,982,334,18,330,295,329,154.29,30.44,31.839999999999993
989,156,793,667,420,882,965,144.04,23.33,23.159999999999993
890,635,696,837,79,300,632,121.28,18.85,18.32
196,915,454,299,139,256,390,148.95,20.14,19.48
613,984,162,339,586,9,372,172.1,33.33,34.44
45,465,173,373,802,823,371,133.72,19.91,19.36
297,585,99,449,212,434,938,143.07,22.52,23.440000000000005
212,116,60,63,56,754,172,176.22,30.71,29.92
609,693,993,153,621,41,559,157.28,24.67,26.08
502,596,255,329,36,125,854,157.53,26.33,25.76
541,299,792,419,667,205,489,145.07,16.51,17.400000000000002
206,247,449,420,503,37,224,159.28,24.09,26.159999999999993
431,454,254,662,910,438,850,123.37,23.09,24.479999999999986
220,510,192,32,37,260,259,173.82,32.43,30.96
248,538,213,790,237,427,890,138.65,20.97,22.07999999999999
267,145,332,52,912,950,322,155.7,19.58,20.120000000000005
578,119,583,412,985,922,668,144.78,17.8,17.440000000000005
669,891,809,734,762,41,506,143.04,21.18,21.839999999999993
396,95,440,215,952,894,586,132.21,20.28,21.400000000000002
921,966,946,169,344,303,672,117.71,15.91,15.64
482,818,922,657,322,834,430,111.71,18.88,18.159999999999993
540,220,670,820,702,820,274,123.61,13.46,15.520000000000001
346,944,401,979,508,76,879,148.83,21.45,22.959999999999994
994,286,984,642,684,195,45,142.31,22.66,22.04
404,920,634,130,785,991,275,133.9,22.17,22.199999999999985
683,876,61,890,171,704,650,128.39,20.52,20.639999999999993
475,582,483,764,413,949,399,114.95,14.72,15.040000000000003
223,817,3,216,944,160,13,189.39,67.6,72.08000000000006
624,897,263,118,405,829,788,147.82,23.82,23.83999999999999
801,390,898,227,563,54,899,149.91,20.38,20.600000000000005
973,206,165,687,622,338,838,120.51,16.22,18.120000000000005
913,575,792,803,482,937,539,136.63,19.43,20.07999999999999
450,27,80,35,712,608,115,181.63,34.8,35.559999999999995
500,574,885,263,622,792,142,131.67,22.18,24.119999999999983
42,371,81,786,900,535,926,132.52,20.0,19.840000000000003
10,304,857,355,847,76,87,167.67,32.62,32.31999999999999
982,556,464,390,210,806,318,138.21,22.26,23.479999999999986
397,239,776,498,876,989,409,153.01,22.48,23.959999999999994
