n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,485,640,149.67,26.95,26.559999999999988
594,67,620,13,930,857,480,265,564,184.04,36.21,37.48
239,196,734,481,553,856,562,487,406,136.68,21.67,20.760000000000005
654,881,154,237,650,155,888,948,535,149.25,25.98,25.999999999999996
399,759,15,687,795,65,163,776,980,161.24,32.13,31.799999999999997
605,43,308,798,31,843,886,275,484,169.88,32.93,31.679999999999996
609,736,942,899,396,731,807,943,437,161.92,27.13,27.159999999999993
404,745,820,590,455,987,958,137,899,140.31,24.51,26.479999999999986
374,99,36,139,506,222,264,988,688,171.52,31.37,31.16000000000001
446,797,641,875,308,431,519,853,395,151.15,25.58,27.519999999999982
587,359,546,599,417,598,237,925,344,151.33,26.96,25.199999999999996
698,937,951,29,876,286,620,687,712,167.91,24.76,26.400000000000002
167,715,881,334,987,554,926,585,582,150.29,23.35,23.840000000000003
106,730,671,216,648,851,587,273,291,157.62,25.04,25.599999999999994
127,64,493,874,654,495,90,352,819,146.93,24.69,24.960000000000004
68,420,918,154,20,300,437,787,425,171.35,37.44,38.87999999999999
893,121,45,619,629,779,46,386,735,179.19,30.97,31.56000000000001
600,338,564,902,944,285,517,241,36,174.18,29.93,29.760000000000005
317,7,78,110,614,548,32,971,202,187.42,46.93,48.999999999999986
994,417,298,625,269,159,706,43,888,155.18,24.92,27.079999999999988
347,321,368,981,141,918,882,386,385,156.75,22.86,24.36
471,890,532,395,659,887,609,697,572,150.59,21.36,20.800000000000004
105,635,996,963,830,519,277,441,649,140.5,20.13,20.360000000000003
737,732,243,958,308,447,264,533,310,161.06,23.57,24.08
561,347,11,807,425,593,322,20,385,178.11,43.16,46.71999999999998
630,603,647,136,61,648,642,340,477,169.23,27.52,26.960000000000004
361,695,939,361,623,723,285,755,501,138.93,21.94,24.84
22,603,62,977,692,21,986,378,257,181.05,36.49,36.72
643,467,305,606,615,327,181,372,189,155.96,26.95,27.47999999999999
320,776,378,864,609,270,307,806,386,162.27,25.6,25.28
107,790,832,27,994,582,700,752,134,167.93,35.06,34.64
317,512,227,669,823,275,244,335,191,139.12,26.64,26.719999999999995
694,445,665,714,99,104,615,329,971,163.31,28.71,28.519999999999992
341,691,853,229,448,829,876,983,173,145.26,28.01,26.56
81,344,759,665,223,906,582,461,277,175.29,28.33,29.32
230,805,123,34,542,980,195,322,826,152.95,23.73,23.800000000000004
856,858,588,187,884,285,348,826,847,161.46,20.46,20.0
657,87,825,634,353,603,132,431,298,173.57,29.1,34.63999999999998
530,812,870,277,475,354,649,426,297,137.57,25.75,25.519999999999992
429,581,419,36,942,423,159,204,4,181.69,46.67,47.19999999999999
488,965,852,901,637,522,444,572,972,157.04,25.85,26.71999999999999
949,734,227,33,763,467,856,771,678,164.34,30.8,30.31999999999999
765,531,986,295,556,349,911,232,882,148.76,27.08,27.359999999999996
69,878,602,994,293,122,829,250,46,160.77,26.37,27.000000000000004
35,925,822,710,524,946,203,918,904,141.12,23.26,23.400000000000002
921,440,590,50,13,492,763,123,175,182.01,40.43,44.31999999999998
515,307,244,678,20,537,549,423,54,159.84,35.17,36.359999999999985
961,934,626,116,349,128,258,995,882,153.32,24.76,24.84
553,488,831,801,62,360,226,202,125,171.11,30.67,31.72
